group,order,dis,Dpm,counting_bound,attains,witness_checked_size,nonexistence_at,source
2,2,1,2,1,yes,1,,controls.txt
3,3,1,2,1,yes,1,,controls.txt
4,4,2,3,2,yes,2,,controls.txt
5,5,2,3,2,yes,2,,controls.txt
6,6,2,3,2,yes,2,,controls.txt
7,7,2,3,2,yes,2,,controls.txt
8,8,3,4,3,yes,3,,controls.txt
9,9,3,4,3,yes,3,,controls.txt
10,10,3,4,3,yes,3,,controls.txt
11,11,3,4,3,yes,3,,controls.txt
12,12,3,4,3,yes,3,,controls.txt
13,13,3,4,3,yes,3,,controls.txt
14,14,3,4,3,yes,3,,controls.txt
15,15,3,4,3,yes,3,,controls.txt
16,16,4,5,4,yes,4,,controls.txt
17,17,4,5,4,yes,4,,controls.txt
18,18,4,5,4,yes,4,,controls.txt
19,19,4,5,4,yes,4,,controls.txt
20,20,4,5,4,yes,4,,controls.txt
21,21,4,5,4,yes,4,,controls.txt
22,22,4,5,4,yes,4,,controls.txt
23,23,4,5,4,yes,4,,controls.txt
24,24,4,5,4,yes,4,,controls.txt
25,25,4,5,4,yes,4,,controls.txt
26,26,4,5,4,yes,4,,controls.txt
27,27,4,5,4,yes,4,,controls.txt
28,28,4,5,4,yes,4,,controls.txt
29,29,4,5,4,yes,4,,controls.txt
30,30,4,5,4,yes,4,,controls.txt
31,31,4,5,4,yes,4,,controls.txt
32,32,5,6,5,yes,5,,controls.txt
33,33,5,6,5,yes,5,,controls.txt
34,34,5,6,5,yes,5,,controls.txt
35,35,5,6,5,yes,5,,controls.txt
36,36,5,6,5,yes,5,,controls.txt
37,37,5,6,5,yes,5,,controls.txt
38,38,5,6,5,yes,5,,controls.txt
39,39,5,6,5,yes,5,,controls.txt
40,40,5,6,5,yes,5,,controls.txt
2x2,4,2,3,2,yes,2,,controls.txt
2x4,8,3,4,3,yes,3,,controls.txt
2x6,12,3,4,3,yes,3,,controls.txt
2x8,16,4,5,4,yes,4,,controls.txt
2x10,20,4,5,4,yes,4,,controls.txt
2x12,24,4,5,4,yes,4,,controls.txt
2x14,28,4,5,4,yes,4,,controls.txt
3x3,9,2,3,3,NO,2,,family_le200.txt
3x6,18,4,5,4,yes,4,,family_le200.txt
3x9,27,4,5,4,yes,4,,family_le200.txt
3x12,36,5,6,5,yes,5,,family_le200.txt
3x15,45,5,6,5,yes,5,,family_le200.txt
3x18,54,5,6,5,yes,5,,family_le200.txt
3x21,63,5,6,5,yes,5,,family_le200.txt
3x24,72,6,7,6,yes,6,,family_le200.txt
3x27,81,6,7,6,yes,6,,family_le200.txt
3x30,90,6,7,6,yes,6,,family_le200.txt
3x33,99,6,7,6,yes,6,,family_le200.txt
3x36,108,6,7,6,yes,6,,family_le200.txt
3x39,117,6,7,6,yes,6,,family_le200.txt
3x42,126,6,7,6,yes,6,,family_le200.txt
3x45,135,6,7,7,NO,6,7,c3c45_certificate.txt
3x48,144,7,8,7,yes,7,,family_le200.txt
3x51,153,7,8,7,yes,7,,family_le200.txt
3x54,162,7,8,7,yes,7,,family_le200.txt
3x57,171,7,8,7,yes,7,,family_le200.txt
3x60,180,7,8,7,yes,7,,family_le200.txt
3x63,189,7,8,7,yes,7,,family_le200.txt
3x90,270,8,9,8,yes,8,,c3_n30.txt
3x93,279,8,9,8,yes,8,,c3_n31.txt
4x4,16,4,5,4,yes,4,,controls.txt
4x16,64,6,7,6,yes,6,,controls.txt
5x5,25,4,5,4,yes,4,,family_le200.txt
5x10,50,5,6,5,yes,5,,family_le200.txt
5x15,75,5,6,6,NO,5,6,controls.txt
5x20,100,6,7,6,yes,6,,family_le200.txt
5x25,125,6,7,6,yes,6,,family_le200.txt
5x30,150,7,8,7,yes,7,,family_le200.txt
5x35,175,7,8,7,yes,7,,family_le200.txt
5x40,200,7,8,7,yes,7,,family_le200.txt
5x55,275,7,8,8,NO,,8,c5c55_shardA.txt
5x60,300,8,9,8,yes,8,,gap_probes.txt
7x7,49,5,6,5,yes,5,,family_le200.txt
7x14,98,6,7,6,yes,6,,family_le200.txt
7x21,147,7,8,7,yes,7,,c7c21_certificate.txt
7x28,196,7,8,7,yes,7,,family_le200.txt
7x42,294,8,9,8,yes,8,,gap_probes.txt
7x49,343,8,9,8,yes,8,,gap_probes.txt
7x56,392,8,9,8,yes,8,,gap_probes.txt
7x63,441,8,9,8,yes,8,,c7_n9.txt
8x8,64,6,7,6,yes,6,,controls.txt
2x2x2,8,3,4,3,yes,3,,controls.txt
2x2x4,16,4,5,4,yes,4,,controls.txt
2x4x8,64,6,7,6,yes,6,,controls.txt
3x3x3,27,3,4,4,NO,3,,controls.txt
3x3x9,81,5,6,6,NO,5,,controls.txt
2x2x2x2,16,4,5,4,yes,4,,controls.txt
3x3x3x3,81,4,5,6,NO,4,,controls.txt
2x2x2x2x2,32,5,6,5,yes,5,,controls.txt
